Date,Transaction Type,No.,Name,Debit,Credit,transaction_id
2014-03-08,Cheque Expense,13,ANZ Bank,2.50,2.50,348
2014-03-11,Cheque Expense,0,Transfer Money,50000.00,50000.00,349
2014-03-11,Journal Entry,79,None,50000.00,50000.00,350
2014-03-13,Journal Entry,80,None,22000.00,22000.00,351
2014-03-23,Journal Entry,86,None,538.52,538.52,352
2014-03-31,Journal Entry,85,None,152.29,152.29,353
2014-04-08,Cheque Expense,14,ANZ Bank,2.50,2.50,354
2014-04-09,Journal Entry,81,None,51.02,51.02,355
2014-04-22,Journal Entry,82,None,23500.00,23500.00,356
2014-04-26,Cheque Expense,0,Australian Taxation Office,1245.00,1245.00,357
2014-04-26,Cheque Expense,0,Transfer Money,800.00,800.00,358
2014-04-26,Journal Entry,87,None,2000.00,2000.00,359
2014-04-30,Journal Entry,93,None,184.18,184.18,360
2014-05-08,Cheque Expense,15,ANZ Bank,2.50,2.50,361
2014-05-09,Journal Entry,89,None,72.25,72.25,362
2014-05-11,Cheque Expense,0,Transfer Money,20000.00,20000.00,363
2014-05-11,Journal Entry,88,None,250.00,250.00,364
2014-05-16,Journal Entry,90,None,33000.00,33000.00,365
2014-05-23,Cheque Expense,0,ASIC,236.00,236.00,366
2014-05-31,Journal Entry,66,None,190.75,190.75,367
2014-06-01,Journal Entry,96,None,1698.65,1698.65,368
2014-06-03,Journal Entry,91,None,357000.00,357000.00,369
2014-06-08,Cheque Expense,16,ANZ Bank,2.50,2.50,370
2014-06-08,Journal Entry,95,None,1812.33,1812.33,371
2014-06-09,Cheque Expense,0,Transfer Money,12500.00,12500.00,372
2014-06-09,Journal Entry,92,None,231.64,231.64,373
2014-06-22,Journal Entry,94,None,543.35,543.35,374
2014-06-23,Cheque Expense,0,Transfer Money,870000.00,870000.00,375
2014-06-30,Journal Entry,98,None,399.00,399.00,376
2014-07-01,Cheque Expense,0,Transfer Money,2200.00,2200.00,377
2014-07-04,Cheque Expense,0,Transfer Money,400000.00,400000.00,378
2014-07-08,Cheque Expense,17,ANZ Bank,2.50,2.50,379
2014-07-08,Journal Entry,97,None,0.55,0.55,380
2014-07-09,Journal Entry,100,None,335.46,335.46,381
2014-07-28,Cheque Expense,0,Australian Taxation Office,1481.00,1481.00,382
2014-07-28,Journal Entry,101,None,150.00,150.00,383
2014-07-28,Journal Entry,99,None,1127.71,1127.71,384
2014-07-31,Journal Entry,102,None,119.04,119.04,385
2014-08-08,Cheque Expense,18,ANZ Bank,2.50,2.50,386
2014-08-25,Cheque Expense,0,Transfer Money,12378.67,12378.67,387
2014-08-26,Cheque Expense,0,Transfer Money,12390.00,12390.00,388
2014-08-31,Journal Entry,103,None,22.38,22.38,389
2014-09-01,Cheque Expense,0,Transfer Money,156200.12,156200.12,390
2014-09-01,Journal Entry,104,None,78077.13,78077.13,391
2014-09-01,Journal Entry,106,None,675.41,675.41,392
2014-09-08,Cheque Expense,0,Transfer Money,59000.00,59000.00,393
2014-09-08,Cheque Expense,19,ANZ Bank,2.50,2.50,394
2014-09-08,Journal Entry,105,None,83302.26,83302.26,395
2014-09-08,Journal Entry,107,None,720.61,720.61,396
2014-09-08,Journal Entry,108,None,0.04,0.04,397
2014-09-12,Cheque Expense,0,Transfer Money,31000.00,31000.00,398
2014-09-17,Cheque Expense,0,Transfer Money,27000.00,27000.00,399
2014-09-22,Journal Entry,112,None,132193.01,132193.01,400
2014-09-22,Journal Entry,114,None,1111.14,1111.14,401
2014-09-30,Journal Entry,111,None,131.75,131.75,402
2014-10-02,Cheque Expense,0,Transfer Money,403254.79,403254.79,403
2014-10-02,Journal Entry,113,None,3254.79,3254.79,404
2014-10-08,Cheque Expense,20,ANZ Bank,2.50,2.50,405
2014-10-08,Journal Entry,109,None,0.86,0.86,406
2014-10-09,Journal Entry,110,None,36.61,36.61,407
2014-10-13,Cheque Expense,0,Transfer Money,20000.00,20000.00,408
2014-10-29,Cheque Expense,0,Australian Taxation Office,617.00,617.00,409
2014-10-29,Cheque Expense,0,Transfer Money,2500.00,2500.00,410
2014-10-31,Journal Entry,116,None,1277.29,1277.29,411
2014-10-31,Journal Entry,118,None,11.14,11.14,412
2014-11-08,Cheque Expense,21,ANZ Bank,2.50,2.50,413
2014-11-24,Cheque Expense,0,Transfer Money,3500.00,3500.00,414
2014-11-30,Journal Entry,115,None,1268.37,1268.37,415
2014-12-08,Cheque Expense,22,ANZ Bank,2.50,2.50,416
2014-12-11,Cheque Expense,0,Transfer Money,562000.00,562000.00,417
2014-12-11,Journal Entry,117,None,562427.47,562427.47,418
2014-12-11,Journal Entry,121,None,490000.00,490000.00,419
2014-12-15,Cheque Expense,0,Transfer Money,1053047.75,1053047.75,420
2014-12-31,Journal Entry,119,None,242.35,242.35,421
2014-12-31,Journal Entry,120,None,423.75,423.75,422
2015-01-08,Cheque Expense,23,ANZ Bank,2.50,2.50,423
2015-01-31,Cheque Expense,0,Transfer Money,349000.00,349000.00,424
2015-01-31,Journal Entry,122,None,348321.47,348321.47,425
2015-01-31,Journal Entry,127,None,17.94,17.94,426
2015-02-05,Cheque Expense,0,Transfer Money,225000.00,225000.00,427
2015-02-06,Journal Entry,123,None,1.24,1.24,428
2015-02-08,Cheque Expense,24,ANZ Bank,2.50,2.50,429
2015-02-27,Journal Entry,129,None,184.49,184.49,430
2015-02-28,Journal Entry,125,None,68.67,68.67,431
2015-03-03,Cheque Expense,0,Australian Taxation Office,617.00,617.00,432
2015-03-03,Journal Entry,124,None,1000.00,1000.00,433
2015-03-08,Cheque Expense,25,ANZ Bank,2.50,2.50,434
2015-03-31,Journal Entry,126,None,1.08,1.08,435
2015-03-31,Journal Entry,130,None,200.39,200.39,436
2015-04-08,Cheque Expense,26,ANZ Bank,2.50,2.50,437
2015-04-10,Cheque Expense,0,Transfer Money,15000.00,15000.00,438
2015-04-27,Cheque Expense,0,Australian Taxation Office,1177.00,1177.00,439
2015-04-27,Journal Entry,128,None,1000.00,1000.00,440
2015-04-30,Journal Entry,63,None,2000.00,2000.00,441
2015-04-30,Journal Entry,64,None,166.39,166.39,442
2015-04-30,Journal Entry,67,None,1.05,1.05,443
2015-05-08,Cheque Expense,27,ANZ Bank,2.50,2.50,444
2015-05-14,Cheque Expense,0,Transfer Money,2000.00,2000.00,445
2015-05-14,Journal Entry,63,None,4048.79,4048.79,446
